node,community,delta
0,1,-0.0008847932133423653
0,2,-0.0007079436809252549
0,3,-0.0007211278362982529
0,4,-0.00030750905842399326
0,5,-0.00004600815599128937
158,1,-0.000960352062411064
158,2,-0.00121039638845068
158,3,-0.0004748114438468638
158,4,-0.0010373657148312655
158,5,-0.00007110351380471992
201,0,-0.00026031887470960764
201,2,-0.0005861948254463291
201,3,-0.0004588995321897973
201,4,-0.0006027432135696783
201,5,-0.000029277917449002322
139,0,-0.001072099144848405
139,2,-0.0013778806242924883
139,3,-0.0012455844445151641
139,4,-0.001636017293974841
139,5,-0.00007946863307586345
304,0,-0.008425220834602497
304,1,-0.008297289064879683
304,3,-0.005159914712153518
304,4,-0.007060615290892477
304,5,-0.0005604629911666159
299,0,-0.00006764835584489978
299,1,-0.00011920294961379518
299,3,-0.0000655570760271139
299,4,-0.00008610617336709689
299,5,-0.0000041825596355717606
298,0,-0.00006764835584489978
298,1,-0.00011920294961379518
298,3,-0.0000655570760271139
298,4,-0.00008610617336709689
298,5,-0.0000041825596355717606
297,0,-0.00006764835584489978
297,1,-0.00011920294961379518
297,3,-0.0000655570760271139
297,4,-0.00008610617336709689
297,5,-0.0000041825596355717606
296,0,-0.00006764835584489978
296,1,-0.00011920294961379518
296,3,-0.0000655570760271139
296,4,-0.00008610617336709689
296,5,-0.0000041825596355717606
295,0,-0.00006764835584489978
295,1,-0.00011920294961379518
295,3,-0.0000655570760271139
295,4,-0.00008610617336709689
295,5,-0.0000041825596355717606
294,0,-0.00006764835584489978
294,1,-0.00011920294961379518
294,3,-0.0000655570760271139
294,4,-0.00008610617336709689
294,5,-0.0000041825596355717606
293,0,-0.00006764835584489978
293,1,-0.00011920294961379518
293,3,-0.0000655570760271139
293,4,-0.00008610617336709689
293,5,-0.0000041825596355717606
292,0,-0.00006764835584489978
292,1,-0.00011920294961379518
292,3,-0.0000655570760271139
292,4,-0.00008610617336709689
292,5,-0.0000041825596355717606
291,0,-0.00006764835584489978
291,1,-0.00011920294961379518
291,3,-0.0000655570760271139
291,4,-0.00008610617336709689
291,5,-0.0000041825596355717606
290,0,-0.00006764835584489978
290,1,-0.00011920294961379518
290,3,-0.0000655570760271139
290,4,-0.00008610617336709689
290,5,-0.0000041825596355717606
281,0,-0.000608835202604098
281,1,-0.0010728265465241565
281,3,-0.0005900136842440251
281,4,-0.000774955560303872
281,5,-0.000037643036720145843
280,0,-0.0006764835584489977
280,1,-0.0011920294961379517
280,3,-0.000655570760271139
280,4,-0.0008610617336709689
280,5,-0.0000418255963557176
279,0,-0.0007441319142938975
279,1,-0.001311232445751747
279,3,-0.000507908220093562
279,4,-0.000733948290833375
279,5,-0.00004600815599128937
278,0,-0.0008117802701387973
278,1,-0.001430435395365542
278,3,-0.0005734652961206759
278,4,-0.0003936152317910903
278,5,-0.00005019071562686113
277,0,-0.0007441319142938975
277,1,-0.001311232445751747
277,3,-0.000507908220093562
277,4,-0.00009428944221930252
277,5,-0.00004600815599128937
276,0,-0.0010823736935183965
276,1,-0.0019072471938207229
276,2,-0.00048699542191570327
276,4,-0.00009838107664540512
276,5,-0.00006692095416914817
275,0,-0.001217670405208196
275,1,-0.002145653093048313
275,2,-0.0008676992739622024
275,3,-0.00011392928746459599
275,5,-0.00007528607344029169
73,0,-0.00145316669773278
73,1,-0.004825219016098309
73,2,-0.0027325753201703938
73,3,-0.0013423288673901283
73,5,-0.000008456044480612473
305,0,-0.002097099031191893
305,1,-0.002415973740799505
305,2,-0.0013166879583198837
305,3,-0.000539732043407695
305,4,-0.0016031932933565497
301,0,-0.00006764835584489978
301,1,-0.00011920294961379518
301,2,-0.00008374211792090416
301,3,-0.0000655570760271139
301,4,-0.00008610617336709689
300,0,-0.00006764835584489978
300,1,-0.00011920294961379518
300,2,-0.00008374211792090416
300,3,-0.0000655570760271139
300,4,-0.00008610617336709689
193,0,-0.00040589013506939865
193,1,-0.000715217697682771
193,2,-0.000502452707525425
193,4,-0.0005166370402025814
193,5,0.00018812425839126026
223,0,-0.000608835202604098
223,1,-0.0010728265465241565
