node,community,delta
0,1,-0.0008527875396092943
0,2,-0.000862607462231941
0,3,-0.0009739908438314064
158,3,-0.0007686817208505145
201,0,-0.0002463163924513891
201,2,-0.0009559876523565541
201,3,-0.0007554975654775164
299,0,-0.00006564800123658285
299,1,-0.00011629334291078873
299,3,-0.00010792822363964521
298,0,-0.00006564800123658285
298,1,-0.00011629334291078873
298,3,-0.00010792822363964521
297,0,-0.00006564800123658285
297,1,-0.00011629334291078873
297,3,-0.00010792822363964521
296,0,-0.00006564800123658285
296,1,-0.00011629334291078873
296,3,-0.00010792822363964521
295,0,-0.00006564800123658285
295,1,-0.00011629334291078873
295,3,-0.00010792822363964521
294,0,-0.00006564800123658285
294,1,-0.00011629334291078873
294,3,-0.00010792822363964521
293,0,-0.00006564800123658285
293,1,-0.00011629334291078873
293,3,-0.00010792822363964521
292,0,-0.00006564800123658285
292,1,-0.00011629334291078873
292,3,-0.00010792822363964521
291,0,-0.00006564800123658285
291,1,-0.00011629334291078873
291,3,-0.00010792822363964521
290,0,-0.00006564800123658285
290,1,-0.00011629334291078873
290,3,-0.00010792822363964521
281,0,-0.0005908320111292456
281,3,-0.0009713540127568069
280,0,-0.0006564800123658285
279,0,-0.0007221280136024113
278,0,-0.0007877760148389942
277,0,-0.0007221280136024113
301,0,-0.00006564800123658285
301,1,-0.00011629334291078873
301,2,-0.00013656966462236486
300,0,-0.00006564800123658285
300,1,-0.00011629334291078873
300,2,-0.00013656966462236486
193,0,-0.0003938880074194971
193,1,-0.0006977600574647324
193,2,-0.0006061983715294984
223,0,-0.0005908320111292456
223,2,-0.0005894681329872113
222,0,-0.0006564800123658285
222,2,-0.0002995985652001947
203,0,-0.0007221280136024113
203,3,-0.00012111237901264314
214,0,-0.0005908320111292456
214,3,-0.00033169516414273436
209,0,-0.00045953600865607995
209,1,-0.0008140534003755212
209,3,-0.00011583871686344387
208,0,-0.0003938880074194971
208,1,-0.0006977600574647324
208,3,-0.0002211301094284896
127,0,-0.0001974895549665623
127,3,-0.0008739731134155601
213,1,-0.00013566041252767536
213,2,-0.00040970899386709464
213,3,-0.0003237846709189356
173,1,-0.0007945954055491656
170,0,-0.0003938880074194971
170,2,-0.0008194179877341893
170,3,-0.0002211301094284896
3,0,-0.0008208727910856924
302,1,-0.0007364941966985057
302,3,-0.00043962338778237955
220,0,-0.0007552247898491096
109,3,-0.000766044889775915
83,3,-0.0007607712276267156
48,1,-0.00046517337164315493
48,2,-0.0005462786584894594
48,3,-0.00043171289455858086
66,1,-0.0009497138129031965
66,3,-0.0008660626201917612
64,1,-0.00023258668582157747
64,2,-0.0002731393292447297
64,3,-0.00021585644727929043
60,1,-0.0008915216788430677
60,3,-0.0009792645059806056
44,1,-0.000620200853787717
44,3,-0.0009713540127568069
20,0,-0.0005089083973977205
20,3,-0.0009739908438314064
14,0,-0.00044326039616113765
12,0,-0.0005745563986343033
42,1,-0.0003294220339060106
42,3,-0.0006554798350616699
32,0,-0.0003776123949245548
32,3,-0.0007581343965521161
169,0,-0.0005745563986343033
169,3,-0.0004422602188569792
183,0,-0.0003776123949245548
183,2,-0.00037624851678252056
183,3,-0.0007581343965521161
18,0,-0.0005251840098926628
18,3,-0.0008634257891171617
10,0,-0.00009874477748328115
10,3,-0.0008634257891171617
2,0,-0.0009847200185487427
84,1,-0.0005232745804938148
84,3,-0.00043962338778237955
22,0,-0.000558280786139361
58,1,-0.0006977600574647324
58,2,-0.0008194179877341893
58,3,-0.0006475693418378712
46,0,0.00003200567373307095
82,1,-0.0008140534003755212
82,2,-0.0009559876523565541
82,3,-0.0007554975654775164
62,1,-0.0009303467432863099
62,3,-0.0008634257891171617
